customer_id,cltv
101,397.08
102,1182.1
103,1905.8
104,624.46
105,540.25
106,1156.25
107,801.22
108,1086.26
109,1015.09
110,818.32
111,815.94
112,1100.16
113,761.54
114,891.36
115,1435.97
116,484.74
117,1009.44
118,1258.27
119,256.97
120,698.47
121,851.33
122,493.78
123,978.59
124,394.31
125,349.88
126,699.59
127,896.83
128,1000.12
129,1266.77
130,1400.83
131,1426.61
132,447.05
133,787.93
134,285.3
135,959.94
136,998.82
137,676.4
138,724.9
139,680.4
140,598.93
141,527.33
142,214.67
143,637.13
144,809.6
145,1225.44
146,1838.66
147,975.6
148,1099.15
149,904.93
150,1829.09
151,624.1
152,1078.13
153,316.69
154,578.05
155,1057.14
156,771.12
157,545.0
158,662.4
159,612.9
160,1226.66
161,644.15
162,525.1
163,665.82
164,1034.71
165,700.09
166,726.23
167,878.72
168,427.18
169,1215.14
170,491.08
171,1001.3
172,1112.11
173,963.65
174,1098.5
175,846.94
176,559.48
177,1204.02
178,3291.3
179,946.87
180,716.33
181,950.83
182,1420.2
183,702.58
184,1262.92
185,389.74
186,434.88
187,588.17
188,394.6
189,565.96
190,508.21
191,560.52
192,612.68
193,580.07
194,1212.3
195,1714.79
196,542.77
197,1171.66
198,790.7
199,315.76
200,2016.76
201,744.95
202,409.75
203,552.13
204,1055.3
205,1972.73
206,693.76
207,824.04
208,844.74
209,767.59
210,573.34
211,540.36
212,2158.6
213,455.44
214,789.48
215,872.35
216,235.87
217,770.0
218,409.0
219,2208.85
220,984.06
221,624.13
222,639.58
223,925.99
224,1346.94
225,829.37
226,898.88
227,605.09
228,1525.39
229,450.32
230,259.24
231,523.33
232,1232.86
233,344.81
234,353.34
235,1974.1
236,670.79
237,1197.5
238,221.08
239,578.3
240,143.39
241,604.04
242,1245.96
243,665.32
244,593.17
245,836.82
246,647.35
247,462.64
248,822.85
249,221.33
250,613.15
251,915.55
252,1593.54
253,1054.37
254,369.07
255,527.33
256,834.77
257,1317.38
258,438.95
259,1550.88
260,1696.82
261,617.62
262,942.73
263,194.65
264,1140.41
265,573.98
266,1604.16
267,764.14
268,429.16
269,1100.3
270,630.14
271,1691.03
272,951.95
273,478.19
274,606.28
275,925.56
276,435.2
277,355.5
278,310.43
279,1154.84
280,991.08
281,948.89
282,1511.89
283,951.37
284,627.48
285,1122.44
286,961.56
287,759.13
288,854.6
289,1159.92
290,1094.76
291,652.75
292,713.99
293,1466.64
294,1369.44
295,403.13
296,448.45
297,785.16
298,553.07
299,648.43
300,379.3
301,468.68
302,550.58
303,434.52
304,1023.37
305,645.84
306,648.76
307,1477.62
308,395.17
309,688.72
310,763.7
311,766.26
312,1106.39
313,922.5
314,1354.21
315,1570.97
316,2081.59
317,470.77
318,1616.9
319,576.32
320,471.56
321,599.4
322,519.23
323,1089.83
324,1111.07
325,841.5
326,540.58
327,1037.59
328,357.41
329,5023.08
330,922.68
331,201.28
332,1125.07
333,511.78
334,1442.05
335,1030.1
336,759.28
337,1004.08
338,1243.44
339,373.97
340,951.59
341,3058.52
342,387.22
343,822.28
344,755.75
345,432.86
346,797.65
347,950.04
348,662.08
349,1072.01
350,574.13
351,649.01
352,739.04
353,1195.67
354,863.17
355,448.88
356,816.44
357,1272.53
358,1836.72
359,1052.17
360,452.95
361,1015.16
362,441.25
363,521.28
364,833.04
365,677.7
366,269.14
367,782.71
368,746.32
369,686.56
370,1200.71
371,1057.25
372,2348.42
373,541.66
374,620.17
375,634.93
376,949.18
377,661.32
378,781.92
379,1280.41
380,999.43
381,1792.19
382,529.42
383,645.77
384,337.61
385,1658.59
386,766.44
387,664.09
388,937.55
389,1404.43
390,448.63
391,831.53
392,518.22
393,344.95
394,650.95
395,609.52
396,341.1
397,580.03
398,1637.42
399,714.85
400,1383.23
401,784.4
402,366.3
403,438.7
404,279.07
405,1500.62
406,642.31
407,1012.0
408,938.05
409,1077.77
410,546.55
411,733.82
412,508.32
413,498.35
414,1361.38
415,1311.95
416,1240.96
417,1087.34
418,1438.24
419,689.0
420,590.4
421,735.34
422,472.0
423,1219.64
424,498.49
425,1839.02
426,1082.27
427,401.0
428,822.24
429,385.52
430,1322.96
431,841.68
432,303.7
433,600.59
434,1050.66
435,1429.78
436,869.8
437,781.49
438,637.92
439,617.0
440,1045.87
441,806.47
442,1292.29
443,238.43
444,1513.04
445,519.41
446,689.58
447,1757.09
448,170.96
449,309.13
450,1189.26
451,486.72
452,478.08
453,627.52
454,679.43
455,1250.35
456,240.52
457,326.2
458,862.06
459,869.62
460,1236.74
461,395.6
462,864.5
463,723.64
464,716.9
465,959.9
466,647.24
467,608.62
468,449.5
469,832.07
470,296.96
471,665.46
472,1207.51
473,974.23
474,801.43
475,919.48
476,326.48
477,417.82
478,702.94
479,737.82
480,763.06
481,667.48
482,664.88
483,400.79
484,697.39
485,784.3
486,414.29
487,1196.14
488,729.29
489,600.16
490,940.43
491,648.11
492,1344.64
493,993.28
494,1863.4
495,858.53
496,1255.14
497,1671.12
498,1073.16
499,254.99
500,727.13
501,250.52
502,348.84
503,792.58
504,1138.25
505,662.65
506,802.3
507,2480.0
508,1028.45
509,368.35
510,937.22
511,1870.49
512,1452.35
513,311.29
514,288.25
515,480.13
516,839.41
517,1822.97
518,926.57
519,740.99
520,368.78
521,781.13
522,1191.38
523,1060.45
524,446.94
525,1213.16
526,1977.23
527,434.99
528,589.5
529,1170.94
530,1242.54
531,785.38
532,676.12
533,796.68
534,835.49
535,780.62
536,1847.66
537,385.24
538,466.49
539,1100.38
540,596.7
541,740.45
542,1876.75
543,398.3
544,610.09
545,1908.29
546,997.88
547,1146.13
548,1350.18
549,560.3
550,775.3
551,1965.2
552,625.68
553,1249.96
554,889.7
555,504.65
556,942.91
557,848.09
558,770.87
559,1041.84
560,1168.45
561,408.53
562,1116.58
563,331.16
564,318.42
565,3182.54
566,857.84
567,1804.18
568,475.31
569,176.87
570,506.12
571,772.81
572,864.04
573,1303.96
574,2432.02
575,1114.92
576,596.27
577,407.74
578,917.53
579,1485.47
580,288.07
581,962.82
582,381.35
583,1133.93
584,1164.74
585,664.52
586,577.98
587,309.06
588,1149.7
589,597.74
590,884.95
591,570.2
592,884.48
593,542.7
594,318.6
595,695.27
596,334.08
597,980.03
598,545.62
599,976.68
600,808.13
601,698.8
602,401.36
603,294.37
604,317.84
605,1103.83
606,492.59
607,740.81
608,677.52
609,1240.42
610,1736.06
611,637.34
612,1059.23
613,476.1
614,1215.36
615,1114.52
616,1439.82
617,353.16
618,1306.84
619,999.04
620,1070.96
621,486.83
622,755.17
623,596.45
624,2332.98
625,176.36
626,1057.28
627,897.26
628,986.29
629,865.01
630,1116.11
631,601.16
632,689.76
633,841.64
634,1059.05
635,1036.44
636,911.63
637,2519.93
638,626.11
639,386.32
640,1077.05
641,963.65
642,280.69
643,379.22
644,751.43
645,2473.09
646,1317.64
647,548.93
648,1122.16
649,1929.74
650,826.7
651,738.9
652,1064.45
653,947.63
654,1058.0
655,428.69
656,471.06
657,251.6
658,453.28
659,602.39
660,439.63
661,1700.89
662,833.04
663,572.58
664,663.23
665,647.06
666,577.84
667,702.4
668,920.74
669,775.73
670,418.61
671,1034.35
672,699.34
673,622.66
674,470.66
675,869.18
676,963.32
677,626.65
678,348.84
679,527.15
680,1651.93
681,513.61
682,613.33
683,983.7
684,819.9
685,866.88
686,1485.76
687,707.04
688,967.1
689,460.58
690,421.85
691,870.23
692,1323.79
693,402.26
694,1111.61
695,1026.65
696,732.82
697,1334.34
698,1880.6
699,405.58
700,771.44
701,2409.19
702,727.96
703,1104.12
704,1055.2
705,1197.4
706,409.82
707,1135.58
708,1202.04
709,1060.2
710,510.44
711,284.33
712,583.99
713,482.0
714,988.02
715,521.75
716,391.43
717,1307.45
718,369.36
719,979.13
720,344.23
